Date,Time,Open,High,Low,Close,Quantity,Average,Open – Close,Gain,Loss,Avg Gain,Avg Loss,RSI
12-Jan-2018,0,512.45,542.95,510.03,539.23,59803558,0,,,,,,
05-Jan-2018,0,518.85,522.25,503,506,38363730,0,,,,,,
29-Dec-2017,0,515,524.4,511.5,521.03,32814318,0,,,,,,
22-Dec-2017,0,505.95,522.4,499.2,519.68,39306774,0,,,,,,
15-Dec-2017,0,497.48,513.2,496.98,511.45,36229636,0,,,,,,
08-Dec-2017,0,490,503.5,484.28,500.93,48811226,0,,,,,,
01-Dec-2017,0,503.35,503.35,478.53,479.4,35824612,0,,,,,,
24-Nov-2017,0,484.5,509.65,478.63,504.78,47625296,0,,,,,,
17-Nov-2017,0,481.03,497.95,471.63,485.48,41523614,0,,,,,,
10-Nov-2017,0,461.58,482.18,461.33,481.03,35192008,0,,,,,,
03-Nov-2017,0,477.33,477.33,458.48,463.33,36941672,0,,,,,,
27-Oct-2017,0,465,478.85,457.63,473.18,79851772,0,,,,,,
19-Oct-2017,0,467.98,471,461.48,463.48,19707138,0,,,,,,
13-Oct-2017,0,460,469.98,457,465.05,34092256,0,,,,,,
06-Oct-2017,0,455.05,461,448.58,460.08,27124622,0,,,,,,
29-Sep-2017,0,450.5,454.2,444.55,449.95,45698414,0,,,,,,
22-Sep-2017,0,455,458.88,444,449.15,46085260,0,,,,,,
15-Sep-2017,0,445.2,456.63,436.83,454.13,69664690,0,,,,,,
08-Sep-2017,0,460.5,460.55,441.05,442.15,42542144,0,,,,,,
01-Sep-2017,0,471.98,476.98,455,459.98,93687538,0,,,,,,
24-Aug-2017,0,462,462,430,456.08,243314488,0,,,,,,
18-Aug-2017,0,494,514.63,442.1,461.63,200183770,0,,,,,,
11-Aug-2017,0,491.75,498.5,477.53,493.85,31685642,0,,,,,,
04-Aug-2017,0,495.95,510.85,488.03,491.88,41094596,0,,,,,,
28-Jul-2017,0,491.75,502,481.15,498.68,43920094,0,,,,,,
21-Jul-2017,0,487.5,502.4,483.48,490.05,34639202,0,,,,,,
14-Jul-2017,0,472.5,514.45,468.65,486.03,47159348,0,,,,,,
07-Jul-2017,0,470.55,485,466.53,467.7,24089484,0,,,,,,
30-Jun-2017,0,472.5,474,460.5,467.78,32940624,0,,,,,,
23-Jun-2017,0,469.98,484.35,464,471.63,31644380,0,,,,,,
16-Jun-2017,0,471.68,483.98,468,470.13,37444092,0,,,,,,
09-Jun-2017,0,485,494.45,461.5,474.3,45879444,0,,,,,,
02-Jun-2017,0,495.45,500,479.28,484.73,27215816,0,,,,,,
26-May-2017,0,479.2,500,474.8,497.85,30605838,0,,,,,,
19-May-2017,0,481.75,486.95,471.43,478.98,28658084,0,,,,,,
12-May-2017,0,469,483,466,482.13,27930250,0,,,,,,
05-May-2017,0,462,469.83,457.55,465.75,17603168,0,,,,,,
28-Apr-2017,0,458.75,467.78,455.1,459.48,32205132,0,,,,,,
21-Apr-2017,0,465,467.4,456.33,461.85,30059120,0,,,,,,
13-Apr-2017,0,492.45,495,463.33,465.7,55853878,0,,,,,,
07-Apr-2017,0,516.08,516.23,489.5,490.78,23497454,0,,,,,,
31-Mar-2017,0,513.6,520.93,504,511.13,45773840,0,,,,,,
24-Mar-2017,0,513.28,522,507.55,515.7,22673382,0,,,,,,
17-Mar-2017,0,511.4,521.45,503.75,520.15,30463176,0,,,,,,
10-Mar-2017,0,510.03,517.98,499.5,510.93,24141012,0,,,,,,
03-Mar-2017,0,503.65,517.15,500.2,515.6,23901386,0,,,,,,
23-Feb-2017,0,498.25,515.5,493.2,504.43,28415152,0,,,,,,
17-Feb-2017,0,486.43,506.95,481.43,500.05,47989638,0,,,,,,
10-Feb-2017,0,468.63,486,464.28,484.15,46475616,0,,,,,,
03-Feb-2017,0,468.75,475.75,452.18,468.05,67221750,0,,,,,,
27-Jan-2017,0,472.5,479,450.58,471.08,35387818,0,,,,,,
20-Jan-2017,0,482.5,482.73,473,474.35,41865650,0,,,,,,
13-Jan-2017,0,486.13,520,481.35,487.9,77859106,0,,,,,,
06-Jan-2017,0,505.55,506.48,484.03,486.13,38787812,0,,,,,,
30-Dec-2016,0,494,506,487.55,505.3,27111352,0,,,,,,
23-Dec-2016,0,503.05,511,484.75,494.23,33470698,0,,,,,,
16-Dec-2016,0,491.4,509.48,482.6,502.58,29985074,0,,,,,,
09-Dec-2016,0,482.95,504.08,479,494.68,25197712,0,,,,,,
02-Dec-2016,0,489.65,492.35,480.53,482.25,31056954,0,,,,,,
25-Nov-2016,0,463.45,492.5,453.48,488.75,51087504,0,,,,,,
18-Nov-2016,0,462,478.43,454.28,460,33205424,0,,,,,,
11-Nov-2016,0,492.5,493.88,450.5,460.78,36947050,0,,,,,,
04-Nov-2016,0,503.4,503.4,480.5,485.5,22940648,0,,,,,,
30-Oct-2016,0,518.75,521.35,496.58,501.05,25020772,0,,,,,,
21-Oct-2016,0,517.48,525.35,508.68,519.15,25311938,0,,,,,,
14-Oct-2016,0,508.5,541.35,498.13,513.58,48653550,0,,,,,,
07-Oct-2016,0,517.75,525.7,505.05,506.28,21040760,0,,,,,,
30-Sep-2016,0,521.38,524.95,512,518.03,33737158,0,,,,,,
23-Sep-2016,0,523,534.45,520,521.28,23089498,0,,,,,,
16-Sep-2016,0,512.63,532.25,512.63,530.08,26006620,0,,,,,,
09-Sep-2016,0,519.13,529.5,512,517.75,29786726,0,,,,,,
02-Sep-2016,0,508.8,522.88,505.5,515.93,26945952,0,,,,,,
26-Aug-2016,0,509,531.03,504.55,510.13,35467238,0,,,,,,
19-Aug-2016,0,521,529.03,509.23,510.65,37148740,0,,,,,,
12-Aug-2016,0,534.5,547.5,530,531.28,29900662,0,,,,,,
05-Aug-2016,0,535.75,543.93,530,534,32979870,0,,,,,,
29-Jul-2016,0,531.5,548.25,531.5,536.93,42506328,0,,,,,,
22-Jul-2016,0,538.63,545,527.58,536.23,52614904,0,,,,,,
15-Jul-2016,0,583.7,598.03,526,536.28,87039124,0,,,,,,
08-Jul-2016,0,588.1,597.3,576.75,579.1,20484262,0,,,,,,
01-Jul-2016,0,586.03,592.25,577.55,586.2,32037038,0,,,,,,
24-Jun-2016,0,590.5,607.43,580,597.28,25659522,0,,,,,,
17-Jun-2016,0,588.4,596.38,583,589.75,28756668,0,,,,,,
10-Jun-2016,0,632.45,638.5,585.05,590.3,37784318,0,,,,,,
03-Jun-2016,0,620.75,639.65,619.5,633.45,32960204,0,,,,,,
27-May-2016,0,601.7,629.75,588.8,623.75,24245602,0,,,,,,
20-May-2016,0,605.1,612.88,598.95,600.8,20535716,0,,,,,,
13-May-2016,0,591,608.33,590.3,603.63,21288266,0,,,,,,
06-May-2016,0,605,606.1,585.33,590.75,25152290,0,,,,,,
29-Apr-2016,0,606.03,621.18,600.55,604.05,32898664,0,,,,,,
22-Apr-2016,0,625,633.95,603.5,605.63,43673876,0,,,,,,
13-Apr-2016,0,582.9,597.48,575.55,586.35,24122202,0,,,,,,
08-Apr-2016,0,606.78,624,581.03,582.88,24152592,0,,,,,,
01-Apr-2016,0,616.2,618.5,595.78,602.73,47047432,0,,,,,,
23-Mar-2016,0,594,605.35,586,603.9,18569518,0,,,,,,
18-Mar-2016,0,573,599.5,564.48,596.7,31435414,0,,,,,,
11-Mar-2016,0,581.5,595.25,569.1,571.5,42363092,0,,,,,,
04-Mar-2016,0,564.75,596.43,534.15,585.33,31863112,0,,,,,,
26-Feb-2016,0,565.5,571.88,550.55,560.58,20029848,0,,,,,,
19-Feb-2016,0,548.13,567.1,536.85,563.63,22546614,0,,,,,,
12-Feb-2016,0,581.88,586.1,533.5,542.33,30289144,0,,,,,,
05-Feb-2016,0,585,597.48,576.38,587.35,26663364,0,,,,,,
29-Jan-2016,0,570.13,585,562.28,582.45,29571930,0,,,,,,
22-Jan-2016,0,569.95,581.05,558.5,568.13,38254064,0,,,,,,
15-Jan-2016,0,528.15,582,515.43,569.95,63940748,0,,,,,,
08-Jan-2016,0,549.98,551.23,523.95,531.65,22964280,0,,,,,,
